breed,breed_size,breed_group,avg_life_span_years,adaptability,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,all_around_friendliness,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,health_and_grooming_needs,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,trainability,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,physical_needs,energy_level,intensity,exercise_needs,potential_for_playfulness,country_origin,height_min,height_max,weight_min,weight_max,life_span_min,life_span_max,avg_height,avg_weight,lat,long
Cav-a-Jack,Medium,Mixed Breed Dogs,14,3,4,4,3,1,3,3,4,4,4,4,4,3,2,2,4,3,4,2,3.6,4,4,3,4,3,3,3.67,4,3,4,5,United States of America,10,17,13,18,12,17,13.50000729,15.3882476,39.7837304,-100.445882
Cavachon,Large,Mixed Breed Dogs,12,3.8,5,5,5,1,3,3,5,5,5,5,5,2.6,2,1,2,4,4,2,3.6,4,4,3,4,3,2,3.67,4,3,4,5,United States of America,12,13,15,35,10,15,12.50000675,24.801975,39.7837304,-100.445882
Cavador,Large,Mixed Breed Dogs,12,3.4,3,5,4,2,3,3,4.67,5,5,4,3,3.4,3,2,4,4,4,3,3.2,4,4,2,3,3,3,3.67,4,3,4,5,United States of America,18,24,22,55,10,14,21.00001134,38.1840184,39.7837304,-100.445882
Cavalier King Charles Spaniel,Medium,Companion Dogs,12,3.8,5,5,5,1,3,2,5,5,5,5,5,3.2,3,1,4,4,4,2,3.2,4,4,3,3,2,2,3,3,2,4,5,England,12,13,13,18,9,15,12.50000675,15.3882476,52.5310214,-1.2649062
Cavapoo,Medium,Mixed Breed Dogs,14,3,3,3,3,2,4,3,4.67,5,5,4,4,2.6,2,1,3,3,4,2,3.2,4,4,3,3,2,3,2.67,3,2,3,5,United States of America,9,14,9,25,12,15,11.50000621,16.865343,39.7837304,-100.445882
Central Asian Shepherd Dog,Very Large,Working Dogs,14,2.6,1,1,4,2,5,2,3.33,3,3,4,2,4.4,4,5,5,5,3,4,2.6,2,5,2,1,3,2,3.33,3,3,4,2,Central Asia,24,28,88,110,12,15,26.00001404,98.215821,3.1624869,101.7125461
Cesky Terrier,Medium,Terrier Dogs,12,3.8,5,4,4,3,3,3,3.33,5,3,2,3,3,1,1,4,5,4,2,3,4,3,3,2,3,3,2.67,2,3,3,5,Czech Republic,10,13,13,30,10,15,11.50000621,21.3407216,49.7439047,15.3381061
Chabrador,Very Large,Mixed Breed Dogs,11,3.4,4,2,4,3,4,1,3.33,4,4,2,2,3.6,4,3,4,4,3,3,3.4,2,4,4,4,3,3,3.33,3,4,3,4,United States of America,18,24,45,80,9,13,21.00001134,61.9939144,39.7837304,-100.445882
Cheagle,Medium,Mixed Breed Dogs,12,2.8,4,4,4,1,1,2,3.67,5,3,3,2,3.2,3,1,5,3,4,2,3.4,2,4,3,4,4,3,3.67,4,4,3,4,United States of America,9,14,9,20,10,14,11.50000621,14.3741224,39.7837304,-100.445882
Chesapeake Bay Retriever,Very Large,Sporting Dogs,11,2.2,1,1,3,2,4,4,3,5,3,1,1,4.2,5,3,5,4,4,3,3.2,3,4,3,3,3,4,5,5,5,5,4,United States of America,21,26,55,80,10,12,23.50001269,66.9763556,39.7837304,-100.445882
Chi Chi,Small,Mixed Breed Dogs,16,2.8,4,2,4,2,2,3,2.67,3,3,2,3,3,2,1,4,4,4,2,3.4,3,4,3,3,4,2,3.67,4,4,3,4,United States of America,5,12,4,11,11,20,8.50000459,7.4516156,39.7837304,-100.445882
Chi-Poo,Medium,Mixed Breed Dogs,14,4.2,5,5,5,4,2,3,4.33,5,5,3,3,2.2,2,1,3,2,3,2,3.8,5,5,3,3,3,3,2.33,3,2,2,4,United States of America,5,15,5,20,12,15,10.0000054,12.3899644,39.7837304,-100.445882
Chigi,Medium,Mixed Breed Dogs,13,3.4,3,4,5,2,3,2,4,5,5,2,2,3.2,4,1,5,3,3,1,3,4,4,2,3,2,3,4,4,4,4,4,United States of America,7,12,10,20,12,14,9.50000513,14.881185,39.7837304,-100.445882
Chihuahua,Very Small,Companion Dogs,14,3.2,5,4,5,1,1,2,4,5,5,2,2,2.6,2,1,5,2,3,1,3.4,4,4,3,3,3,2,2,3,2,1,4,Mexico,6,9,3,6,10,18,7.50000405,4.4533324,23.6585116,-102.0077097
Chilier,Small,Mixed Breed Dogs,14,2.8,4,2,4,2,2,2,4,4,4,4,3,3.2,2,3,4,4,3,2,3,2,4,3,3,3,2,3.67,4,4,3,4,United States of America,8,12,6,12,12,16,10.0000054,8.928711,39.7837304,-100.445882
Chinese Crested,Medium,Companion Dogs,12,3,5,3,5,1,1,3,4.33,4,5,4,4,2.4,2,1,2,5,2,2,3.4,4,3,4,3,3,1,1.67,2,1,2,3,China,11,13,8,12,10,14,12.00000648,11.904948,35.000074,104.999927
Chinese Shar-Pei,Very Large,Working Dogs,10,2.8,4,2,2,4,2,1,1.67,2,2,1,2,2.8,2,2,5,1,4,3,3.4,3,2,5,2,5,2,2,2,1,3,1,China,18,20,40,55,8,12,19.00001026,47.1347756,35.000074,104.999927
Chinook,Very Large,Working Dogs,14,3.2,4,1,5,1,5,4,5,5,5,5,4,3,5,1,2,4,3,4,3.2,4,5,3,2,2,2,3,3,3,3,4,United States of America,21,27,55,70,12,15,24.00001296,61.9939144,39.7837304,-100.445882
Chion,Small,Mixed Breed Dogs,12,2.8,4,3,3,2,2,3,3.67,5,3,3,2,3,2,2,3,4,4,2,3.4,3,3,4,3,4,1,3,4,3,2,4,United States of America,5,11,4,11,10,15,8.00000432,7.4516156,39.7837304,-100.445882
Chipin,Small,Mixed Breed Dogs,12,3.2,5,4,5,1,1,2,3.67,5,4,2,2,3,2,1,5,3,4,1,2.8,4,3,2,3,2,3,3,4,3,2,5,United States of America,8,12,5,15,10,14,10.0000054,9.92079,39.7837304,-100.445882
Chiweenie,Small,Mixed Breed Dogs,14,3,5,3,4,2,1,4,3,4,2,3,2,2.8,1,1,5,3,4,1,3.2,2,4,2,3,5,2,3.33,4,2,4,5,United States of America,6,10,5,12,12,16,8.00000432,8.4216484,39.7837304,-100.445882
Chorkie,Small,Mixed Breed Dogs,14,3.4,5,5,5,1,1,2,3.33,4,3,3,2,2.2,2,1,3,3,2,1,2.8,3,3,2,2,4,2,3.33,4,3,3,5,United States of America,6,9,8,15,12,15,7.50000405,11.4199316,39.7837304,-100.445882
Chow Chow,Very Large,Working Dogs,14,3.4,3,2,2,5,5,2,1.33,2,1,1,1,2.2,1,3,1,2,4,4,2.2,2,1,5,2,1,2,2,2,2,2,1,China,17,20,40,70,12,15,18.50000999,54.564345,35.000074,104.999927
Chow Shepherd,Very Large,Mixed Breed Dogs,14,3.2,3,2,4,2,5,4,2.67,3,3,2,2,2.6,5,2,1,3,2,4,2.8,3,3,3,3,2,3,4.67,5,4,5,4,United States of America,22,26,45,90,12,15,24.00001296,66.9763556,39.7837304,-100.445882
Chug,Medium,Mixed Breed Dogs,12,3.2,5,3,3,3,2,3,4,5,4,3,3,3.6,4,2,4,4,4,1,2.6,3,3,3,2,2,2,3.33,4,3,3,4,United States of America,10,14,10,20,10,13,12.00000648,14.881185,39.7837304,-100.445882
Chusky,Very Large,Mixed Breed Dogs,12,3,2,2,3,3,5,2,3.67,4,4,3,3,3,5,2,2,3,3,3,3.4,3,4,3,3,4,2,3.67,4,3,4,4,United States of America,18,23,40,65,10,13,20.50001107,52.0731244,39.7837304,-100.445882
Cirneco dell’Etna,Medium,Companion Dogs,13,3.2,4,3,3,3,3,3,4.67,5,5,4,3,2.8,2,1,4,5,2,3,3,3,3,2,4,3,1,3,4,2,3,4,Italy,17,20,17,26,12,14,18.50000999,21.3407216,42.6384261,12.674297
Clumber Spaniel,Very Large,Sporting Dogs,12,4.2,5,5,4,2,5,2,4,5,3,4,3,3.6,5,5,1,2,5,3,3.6,4,3,5,5,1,4,2,3,1,2,5,England,17,20,55,85,12,12,18.50000999,69.44553,52.5310214,-1.2649062
Cockalier,Medium,Mixed Breed Dogs,14,3.2,4,4,4,2,2,2,4.67,5,5,4,3,2.8,2,1,4,4,3,2,3,4,4,2,3,2,2,3.33,4,2,4,5,United States of America,12,15,10,28,12,15,13.50000729,18.849501,39.7837304,-100.445882
Cockapoo,Medium,Hybrid Dogs,14,4,4,5,4,3,4,4,4.67,5,4,5,4,2,1,1,3,2,3,2,3,4,4,2,3,2,3,3,3,3,3,5,United States of America,10,15,6,19,12,15,12.50000675,12.3899644,39.7837304,-100.445882
Cocker Spaniel,Large,Sporting Dogs,14,3.6,5,3,5,1,4,3,4,5,3,4,3,2.6,3,1,1,4,4,2,4.2,5,4,4,5,3,4,3,4,2,3,4,United States of America,14,15,24,28,12,15,14.50000783,25.794054,39.7837304,-100.445882
Collie,Very Large,Herding Dogs,12,3.6,3,4,5,2,4,3,4.67,5,5,4,4,2.8,5,1,2,3,3,3,3.8,4,4,3,4,4,1,2.67,3,2,3,4,Scotland,22,26,50,70,10,14,24.00001296,59.52474,56.7861112,-4.1140518
Corgi Inu,Medium,Mixed Breed Dogs,14,3.4,4,3,3,3,4,2,3,3,3,3,2,3,5,2,2,3,3,2,3.4,4,4,3,3,3,2,3.67,4,3,4,4,United States of America,9,15,17,27,12,15,12.00000648,21.825738,39.7837304,-100.445882
Corgidor,Very Large,Mixed Breed Dogs,12,3,3,2,4,3,3,3,4,5,4,3,4,3.8,5,2,4,4,4,3,3.4,4,5,3,3,2,3,4,5,3,4,5,United States of America,12,23,40,55,10,15,17.50000945,47.1347756,39.7837304,-100.445882
